Open,High,Low,Close,Moving Average 50
305.84,306.02,305.25,305.58,303.43
306.52,306.6,305.52,306.27,303.59
306.28,307.18,306.28,307.16,303.76
307.17,307.26,305.83,306.39,303.89
306.37,306.41,305.1,305.75,304.01
305.75,306.34,305.57,305.86,304.13
305.84,306.47,305.76,306.46,304.25
306.46,306.55,306.24,306.41,304.37
306.41,306.97,306.38,306.89,304.48
306.89,307.14,306.73,307.06,304.59
307.06,307.19,306.58,306.72,304.69
306.7,306.94,306.15,306.79,304.75
306.79,306.89,306.03,306.43,304.8
306.43,308.13,306.19,308.08,304.87
310.26,310.86,309.94,310.57,304.98
310.58,310.97,310.45,310.92,305.09
310.91,311.36,310.77,311.01,305.2
311.01,311.96,310.97,311.66,305.33
311.66,312.06,311.51,311.72,305.43
311.72,311.74,311.22,311.55,305.53
311.55,311.72,311.19,311.22,305.63
311.23,311.66,311.13,311.55,305.74
311.57,311.67,311.19,311.36,305.85
311.36,312.16,311.3,312.03,306
312.03,312.38,311.85,312.13,306.18
312.13,312.69,311.93,312.6,306.39
312.6,313.22,312.04,312.09,306.6
311.12,312.25,310.96,312.09,306.82
312.08,312.66,311.89,312.56,307.05
312.55,313,312.39,312.77,307.27
312.78,312.89,311.08,311.38,307.47
311.38,311.84,311.2,311.53,307.67
311.53,311.75,311.1,311.36,307.87
311.36,311.36,310.48,310.5,308.06
310.5,310.92,310.39,310.53,308.21
310.54,311.68,310.54,311.51,308.37
311.5,311.69,311.25,311.52,308.53
311.53,311.62,310.14,310.15,308.64
310.14,310.59,309.08,310.09,308.76
310.1,311.34,309.94,311.31,308.88
317.41,318.65,317.16,317.65,309.14
317.64,318.68,317.5,318.05,309.41
318.05,319.19,317.92,319.15,309.69
319.17,320.67,319.07,320.61,310
320.61,321.28,320.06,320.32,310.29
320.32,320.45,319.22,319.88,310.57
319.88,320.35,319.83,320.13,310.85
320.13,320.66,319.68,320.65,311.16
320.64,320.74,320,320.07,311.44
320.07,320.61,319.81,320.2,311.73
320.2,320.56,319.3,319.7,312.01
319.7,320.14,318.94,320.09,312.28
320.09,320.1,318.37,319.28,312.53
320.3,321.21,320.15,320.79,312.81
320.79,320.9,319.69,319.9,313.1
319.89,320.93,319.63,320.73,313.39
320.75,321.37,320.67,321.16,313.69
321.16,321.27,320.6,320.85,313.98
320.86,321.12,320.48,320.54,314.25
320.54,321.02,320.51,320.84,314.53
320.84,321.2,320.74,321.09,314.81
321.09,321.91,320.93,321.76,315.11
321.76,322.16,321.62,322.06,315.43
322.06,322.14,321.78,322.07,315.71
322.06,322.1,321.67,321.85,315.93
321.85,323.41,321.79,323.25,316.18
320.26,320.76,319.66,319.76,316.35
319.76,320.45,319.36,320.12,316.52
320.12,321.69,320.03,321.37,316.71
321.37,321.75,320.93,321.32,316.91
321.32,321.41,320.47,320.62,317.1
320.62,320.99,320.16,320.98,317.29
320.98,321.45,320.33,321.42,317.49
321.41,321.94,321.26,321.94,317.69
321.93,322.22,321.87,321.97,317.88
321.97,322.08,320.95,321.01,318.05
321.01,321.75,320.96,321.71,318.24
321.71,322.37,321.33,322.21,318.45
322.21,322.22,320.48,320.81,318.61
321.4,321.78,319.62,320.29,318.76
320.29,320.6,318.64,319.04,318.91
319.04,320.03,318.22,318.7,319.06
318.69,319.95,318.55,319.64,319.22
319.65,320.16,318.91,319.71,319.41
319.76,320.51,319.39,320.32,319.6
320.31,320.38,319.95,320.23,319.78
320.24,320.51,319.79,320.1,319.95
320.1,320.4,319.87,319.95,320.15
319.95,322.39,318.94,322.09,320.39
322.09,322.18,319.03,319.93,320.56
319.94,321.41,318.88,321.34,320.63
321.34,321.48,318.89,319.01,320.65
311.31,312.15,310.01,311.65,320.5
311.66,311.96,310.16,310.18,320.29
310.18,311.2,308.92,309.1,320.07
309.08,309.56,308.36,308.79,319.85
308.8,309.01,307.16,308.01,319.6
308,308.02,304.92,305.36,319.3
305.36,306.7,303.75,304.23,318.98
304.22,305.87,303.93,304.88,318.67
304.89,305.38,303.77,304.72,318.37
304.71,304.77,302.99,303.95,318.05
303.95,304.08,301.06,301.77,317.7
301.77,302.9,300.25,300.71,317.3
300.71,302.58,300.01,300.59,316.91
308.32,309.08,307.06,307.63,316.65
307.63,308.42,306.06,306.07,316.35
306.09,306.51,302.67,302.68,315.99
302.67,303.73,300.46,302.38,315.62
302.38,305.28,301.82,305.22,315.31
305.21,305.89,303.84,304.31,314.98
304.31,304.4,302.59,303.79,314.62
303.79,304.01,301.47,301.85,314.21
301.85,302.23,298.74,298.88,313.75
298.88,301.29,298.6,301.08,313.33
301.08,302.68,300.35,302.1,312.91
302.1,303.73,301.06,301.71,312.55
301.71,305.07,301.16,304.27,312.23
298.01,300.11,296.74,299.95,311.8
299.94,301.33,299.4,299.99,311.38
299.99,301.76,299.27,300.93,310.98
300.93,302.63,300.75,301.78,310.6
301.78,302.29,301.05,301.92,310.21
301.89,303.79,301.65,303.56,309.84
303.56,304.42,303.06,304.37,309.49
304.36,305.31,304.09,304.46,309.16
304.46,304.83,303.81,304.06,308.81
304.06,308.22,304.06,307.9,308.52
307.9,308.28,306.52,306.73,308.24
306.74,307.79,305.84,305.9,307.95
305.86,307.12,304.54,307.03,307.71
315.56,315.56,313.77,314.54,307.63
314.54,315.54,314.18,315.37,307.54
315.37,315.64,309.06,309.44,307.34
309.44,312.83,307.67,312.55,307.18
312.55,313.7,311.74,312.26,307.02
312.27,312.8,311.17,312.65,306.87
312.64,314.18,312.59,313.48,306.74
313.48,314.94,313.23,313.7,306.57
313.69,313.87,312.14,312.7,306.43
312.7,314.37,312.21,313.34,306.27
313.34,314.21,312.74,313.07,306.15
313.07,313.32,310.61,312.08,306.16
312.08,313.03,311.19,312.93,306.21
314.04,314.11,312.02,312.66,306.29
312.65,313.46,311.39,311.66,306.34
311.66,313.38,311.16,312.82,306.44
312.81,313.11,311.93,312.35,306.58
312.35,313.17,312.15,313.1,306.76
313.11,313.18,312.46,312.88,306.92
312.88,313.98,312.84,313.54,307.09
313.55,314.16,313.52,314.02,307.29
314.02,314.39,313.68,313.68,307.53
313.68,314.1,313.15,313.71,307.79
313.71,314.15,313.02,313.06,308.04
313.06,313.06,311.45,311.85,308.13
311.84,312.31,310.86,311.57,308.24
309.98,311.55,309.51,310.78,308.4
310.76,311.86,310.75,311.15,308.57
311.15,312.3,310.22,312.21,308.71
312.2,312.3,311.56,311.73,308.86
311.73,312.07,310.75,310.92,309
310.92,311.58,310.44,311.4,309.2
311.41,311.51,310.81,311.39,309.45
311.38,311.7,311.16,311.56,309.66
311.56,311.99,311.49,311.85,309.85
311.85,311.93,310.66,311.21,310.04
311.21,311.74,310.47,310.53,310.17
310.52,310.84,310.06,310.77,310.38
310.77,312,310.57,311.74,310.62
314.1,314.38,312.71,312.96,310.86
312.96,313.38,312.71,313.04,311.08
313.05,313.09,312.08,312.28,311.29
312.27,312.96,311.6,312.25,311.46
312.24,312.33,311.56,311.69,311.61
311.69,311.76,307.95,309.22,311.71
309.22,310.54,308.54,310.42,311.83
310.42,310.47,308.66,308.91,311.85
308.89,309.43,307.89,307.9,311.88
307.9,308.7,306.53,307.6,311.91
307.6,309.63,307.21,309.42,311.96
309.43,310.54,308.7,309.91,311.87
309.91,310.3,308.54,308.58,311.73
307.95,308.67,306.75,308.51,311.71
308.51,309.67,308.3,309.37,311.65
309.37,309.45,308.15,308.16,311.57
308.16,309.2,307.85,309.06,311.49
309.06,309.46,308.73,309.1,311.41
309.1,310.47,309.1,310.25,311.34
310.26,310.81,310.01,310.5,311.29
310.51,310.81,310.21,310.27,311.23
310.27,310.62,309.96,310.45,311.18
310.46,310.47,309.72,310.31,311.14
310.31,311.04,310.23,310.96,311.1
310.95,311.05,309.3,309.69,311.05
309.69,310.84,309.68,310.66,311.03
313.5,313.84,312.62,312.98,311.03
312.98,313.57,312.3,313.56,311.05
313.56,313.65,312.11,312.78,311.05
312.77,314.18,312.38,313.99,311.07
313.99,314.04,313.14,313.82,311.07
313.82,314.03,313.42,313.74,311.07
313.74,313.9,313.4,313.67,311.07
313.67,314.36,313.64,314.22,311.08
