,Open,High,Low,Close,next open,UP VS DOWN
187,108.13,108.99,108.04,108.91,108.9,1
188,108.9,109.22,108.72,108.94,108.96,1
189,108.96,109.34,108.64,109.14,109.16,0
190,109.16,109.58,109.08,109.11,109.12,1
191,109.12,109.47,109.04,109.18,109.16,1
192,109.16,109.99,108.89,109.88,109.9,0
193,109.9,109.94,109.44,109.52,109.52,1
194,109.52,109.97,109.3,109.93,109.93,1
195,109.93,110.28,109.9,110,110,1
196,110,110.32,109.87,110.21,110.22,1
197,110.22,110.61,110.21,110.57,110.58,0
198,110.58,110.59,110.26,110.53,110.53,0
199,110.53,110.61,110.24,110.4,110.4,1
200,110.4,110.54,110.28,110.48,110.47,1
201,110.47,111.25,110.43,111.09,111.09,0
202,111.09,111.19,110.69,110.91,110.91,1
203,110.91,111.66,110.91,111.55,111.55,0
204,111.55,111.83,111.39,111.54,111.55,0
205,111.55,111.57,110.9,111.28,111.29,0
206,111.29,111.49,110.76,111,111,1
207,111,112.21,110.94,111.99,111.98,1
208,111.98,112.3,111.78,112.16,112.15,1
209,112.15,112.5,112.14,112.39,112.38,0
210,112.38,112.55,112.09,112.26,112.26,1
211,112.26,112.5,112.07,112.31,112.32,0
212,112.32,112.32,111.74,112.03,111.08,0
213,111.08,111.54,109.44,110.32,110.32,0
214,110.32,111,110.12,110.26,110.26,0
215,110.26,110.26,108.76,109.7,109.7,1
216,109.7,110.4,109.26,110.08,110.08,1
217,110.08,110.58,109.36,110.34,110.34,1
218,110.34,110.78,110.03,110.57,110.56,0
219,110.56,110.9,109.66,110.37,110.4,1
220,110.4,110.74,109.88,110.39,110.44,1
221,110.44,111.06,109.91,110.9,110.87,0
222,110.87,111.01,109.82,110.14,110.11,1
223,110.11,111.25,110.01,110.64,110.68,1
224,110.68,111.02,110.43,110.75,110.78,1
225,110.78,111.49,110.74,111.37,111.35,0
226,111.35,111.71,110.92,111.14,111.12,0
227,111.12,111.2,110.49,110.59,110.59,0
228,110.59,110.61,109.88,110.41,110.41,0
229,110.41,110.77,110.1,110.25,110.23,1
230,110.23,110.85,110.16,110.62,110.62,1
231,110.62,111.02,110.36,110.98,110.98,0
232,110.98,111.21,110.73,110.91,110.91,1
233,110.91,111.21,110.88,111.09,111.09,0
234,111.09,111.32,110.69,110.93,110.95,0
235,110.95,110.98,110.5,110.74,110.74,1
236,110.74,111.31,110.74,111.06,111.08,1
237,111.08,111.51,111.03,111.48,111.48,1
238,111.48,111.59,111.16,111.54,111.53,0
