Open,High,Low,Close
156.32,156.56,155.97,156.12
156.12,156.18,155.36,155.38
155.40,155.84,155.15,155.41
155.42,156.12,155.42,156.00
156.00,156.38,155.95,156.24
156.24,156.45,155.90,155.92
155.94,156.91,155.93,156.90
156.88,156.99,156.56,156.69
156.69,156.84,156.46,156.49
156.49,157.11,156.24,157.03
157.02,157.12,156.58,156.71
156.71,156.96,156.71,156.84
156.84,156.91,156.55,156.59
156.59,156.98,156.51,156.70
156.70,156.90,156.28,156.34
156.34,156.58,156.30,156.47
156.47,157.00,156.42,156.83
156.83,157.41,156.83,157.37
157.37,157.48,156.58,156.61
156.62,156.76,156.26,156.65
156.65,156.98,156.50,156.78
156.78,157.31,156.78,157.10
157.11,157.59,157.11,157.54
157.52,157.85,157.36,157.80
157.80,157.87,157.30,157.40
157.40,157.58,157.22,157.32
157.32,157.93,157.27,157.91
157.93,158.08,157.72,158.08
158.07,158.42,157.97,158.24
158.26,158.49,157.82,157.84
157.84,158.26,157.23,157.42
157.47,157.86,157.38,157.66
158.67,159.54,158.06,158.53
158.53,158.98,157.82,158.06
158.06,159.66,158.02,159.63
159.63,159.90,158.73,159.77
159.74,159.94,159.11,159.18
159.18,159.70,158.99,159.41
159.38,159.88,159.29,159.49
159.49,159.72,158.91,159.61
159.61,159.90,159.10,159.69
159.69,160.24,159.31,160.22
160.22,160.62,160.15,160.55
160.55,160.55,159.67,160.05
160.05,160.83,159.96,160.58
160.54,160.66,160.15,160.52
160.52,160.61,160.02,160.18
160.18,161.13,159.97,161.05
161.05,161.25,160.86,161.24
161.24,161.58,161.23,161.41
161.41,161.74,161.35,161.49
161.50,161.87,161.35,161.64
161.64,161.98,161.33,161.34
161.41,161.77,161.07,161.19
161.19,161.19,159.78,159.97
160.00,160.04,158.66,159.92
159.92,160.00,158.80,159.54
159.54,160.49,159.34,160.39
160.39,160.75,160.28,160.62
160.62,161.28,160.62,160.97
160.97,161.21,160.75,161.15
161.16,161.33,160.48,160.65
160.70,161.20,160.37,161.10
161.10,161.66,160.93,161.57
161.57,161.70,161.31,161.36
161.35,161.85,161.23,161.73
161.73,161.89,161.41,161.61
161.57,161.73,161.05,161.69
161.71,161.77,161.33,161.67
161.67,161.80,161.30,161.37
161.39,161.65,161.10,161.16
161.16,161.82,161.16,161.68
161.68,162.13,161.57,161.93
161.93,162.23,161.77,162.21
162.21,162.25,161.98,162.24
162.25,162.54,162.18,162.44
162.44,162.54,162.14,162.54
162.54,162.92,162.53,162.79
162.79,163.01,162.67,163.01
163.01,163.05,162.65,162.84
162.84,163.33,162.84,163.17
163.18,163.24,162.78,162.94
162.94,163.55,162.81,163.48
163.48,163.83,163.42,163.78
163.78,163.84,163.48,163.52
163.52,163.66,163.34,163.59
163.59,163.59,163.14,163.33
163.33,163.37,162.90,163.13
163.14,163.58,163.14,163.35
163.35,163.68,163.25,163.33
163.33,163.71,163.20,163.71
163.70,163.73,163.47,163.54
163.54,163.62,162.97,163.11
163.11,163.25,162.80,163.24
163.24,163.60,163.14,163.53
163.53,163.90,163.47,163.71
163.71,164.09,163.64,163.98
163.98,164.19,163.97,164.14
164.12,164.28,163.19,163.35
163.34,164.01,163.31,163.95
163.95,164.00,163.56,163.67
163.67,163.73,162.93,162.96
162.96,163.14,162.30,162.58
162.57,163.50,162.27,163.46
163.46,163.60,163.11,163.32
163.33,163.84,163.25,163.73
